n,Avg_Time(s),FLOPs
431,3.69467e-06,2.33309e+08
432,3.722e-06,2.32133e+08
433,3.72233e-06,2.3265e+08
434,3.81933e-06,2.27265e+08
435,3.861e-06,2.2533e+08
436,3.75e-06,2.32533e+08
437,3.847e-06,2.2719e+08
438,3.75e-06,2.336e+08
439,3.76367e-06,2.33283e+08
440,3.76367e-06,2.33815e+08
441,3.77767e-06,2.33477e+08
442,3.778e-06,2.33986e+08
443,3.79133e-06,2.33691e+08
444,3.861e-06,2.29992e+08
445,3.81933e-06,2.33025e+08
446,3.847e-06,2.31869e+08
447,3.83333e-06,2.33217e+08
448,3.889e-06,2.30393e+08
449,3.83367e-06,2.34241e+08
450,3.81933e-06,2.35643e+08
451,3.972e-06,2.2709e+08
452,3.861e-06,2.34136e+08
453,3.875e-06,2.33806e+08
454,3.889e-06,2.33479e+08
455,3.889e-06,2.33993e+08
456,3.90267e-06,2.33686e+08
457,3.903e-06,2.34179e+08
458,3.986e-06,2.29804e+08
459,3.94467e-06,2.32719e+08
460,3.94433e-06,2.33246e+08
461,3.98633e-06,2.3129e+08
462,3.95833e-06,2.33432e+08
463,3.95833e-06,2.33937e+08
464,3.95833e-06,2.34442e+08
465,3.97233e-06,2.34119e+08
466,3.986e-06,2.33818e+08
467,4.11133e-06,2.27177e+08
468,4e-06,2.34e+08
469,4.01367e-06,2.33702e+08
470,4.014e-06,2.3418e+08
471,7.68033e-06,1.22651e+08
472,4.097e-06,2.30412e+08
473,4.028e-06,2.34856e+08
474,4.06933e-06,2.32962e+08
475,4.05567e-06,2.3424e+08
476,4.083e-06,2.33162e+08
477,4.06933e-06,2.34436e+08
478,4.11133e-06,2.32528e+08
479,4.09733e-06,2.33811e+08
480,4.11133e-06,2.33501e+08
481,4.125e-06,2.33212e+08
482,4.125e-06,2.33697e+08
483,4.16667e-06,2.3184e+08
484,4.16667e-06,2.3232e+08
485,4.15267e-06,2.33585e+08
486,4.20833e-06,2.3097e+08
487,4.25e-06,2.29176e+08
488,4.22233e-06,2.31152e+08
489,4.19433e-06,2.33172e+08
490,4.20833e-06,2.32871e+08
491,4.43067e-06,2.21637e+08
492,4.20833e-06,2.33822e+08
493,4.264e-06,2.31238e+08
494,4.22233e-06,2.33994e+08
495,4.23633e-06,2.33693e+08
496,4.264e-06,2.32645e+08
497,4.30533e-06,2.30876e+08
498,4.26367e-06,2.33602e+08
499,1.4611e-05,6.83047e+07
500,3.80533e-06,2.62789e+08
501,3.653e-06,2.74295e+08
502,3.667e-06,2.73793e+08
503,3.76367e-06,2.67293e+08
504,3.68033e-06,2.73888e+08
505,3.666e-06,2.75505e+08
506,3.68067e-06,2.7495e+08
507,3.69467e-06,2.7445e+08
508,3.69433e-06,2.75016e+08
509,3.70833e-06,2.74517e+08
510,3.722e-06,2.74046e+08
511,3.80567e-06,2.68547e+08
512,3.70833e-06,2.76135e+08
